TIPO,FECHA,DESCRIPCION,COMPRADOR_CODIGO,VENDEDOR_CODIGO
Buena, 13/08/20,"Excelente servicio, muy atentos y cumplidos",https://www.mercadolibre.com.co/perfil/--TANNER--,https://perfil.mercadolibre.com.co/DESCOBAR78
Buena, 17/04/20,todo ok,https://www.mercadolibre.com.co/perfil/-GONZO-,https://perfil.mercadolibre.com.co/CELULARESBOGOTA7
Buena, 28/02/17,buen vendedor me llego el producto que era y funcionando tal como me lo había ofrecido. lo recomiendo. yo compre desde bucaramanga,https://www.mercadolibre.com.co/perfil/-INSSUCOL-,https://perfil.mercadolibre.com.co/INTERNACIONAL300
Buena, 01/05/17,Muy puntual con el envio y muy atento. Completamente recomendado,https://www.mercadolibre.com.co/perfil/-JOAN-,https://perfil.mercadolibre.com.co/MRPCVENTAS
Buena, 04/06/20,Entrego el producto a tiempo y llego en excelentes condiciones.,https://www.mercadolibre.com.co/perfil/-KARENDL-,https://perfil.mercadolibre.com.co/TECNOPIA.CO
Mala, 01/05/20,"Nunca respondió los mensajes enviados, ni por aquí ni por Whatsapp, solo respondió en el reclamo que tuve que abrir para poder tener respuestas.",https://www.mercadolibre.com.co/perfil/-MDFDESIGN,https://perfil.mercadolibre.com.co/MOKA8853040
Buena, 05/07/20,"Apesar de que se tardó un poco para preparar el producto, es entendible que estamos así por esta pandemia, desde luego fue amable y respondió siempre",https://www.mercadolibre.com.co/perfil/-NELFABYES,https://perfil.mercadolibre.com.co/CAAN1734570
Buena, 26/09/20,Le he comprado dos veces y siempre ha cumplido. Excelente atención. Muy recomendado!,https://www.mercadolibre.com.co/perfil/-NOSF3R4TU-,https://perfil.mercadolibre.com.co/ALCARRITOCO
Buena, 17/12/17,Vendedor recomendado,https://www.mercadolibre.com.co/perfil/.:ELMEJORVENDEDOR:.,https://perfil.mercadolibre.com.co/COLCELTECK2020
Buena, 28/07/20,"",https://www.mercadolibre.com.co/perfil/007MIGUEL,https://perfil.mercadolibre.com.co/TODAH86
Buena, 12/06/20,"",https://www.mercadolibre.com.co/perfil/05LUISMANRIQUE05,https://perfil.mercadolibre.com.co/COMUNICACIONCELULARCOMCEL?brandId=867
Buena, 03/09/20,"",https://www.mercadolibre.com.co/perfil/09CRACK,https://perfil.mercadolibre.com.co/CARBONTECH
Buena, 22/07/20,"atento amable, buen servicio",https://www.mercadolibre.com.co/perfil/1000TON JBC,https://perfil.mercadolibre.com.co/JEFEPANDA.COM
Buena, 25/10/19,"Buena atención, y el producto súper... Demoró la entrega, pero fue por parte de la transportadora.",https://www.mercadolibre.com.co/perfil/10033392,https://perfil.mercadolibre.com.co/VENTAS_ITCEL
Buena, 01/07/20,"La funda es perfecta, protege perfecto el equipo, el envío súper puntuak",https://www.mercadolibre.com.co/perfil/11185976,https://perfil.mercadolibre.com.co/CACA1456255
Buena, 03/05/19,Entrega rápida y sin problemas.,https://www.mercadolibre.com.co/perfil/11ALBERT11,https://perfil.mercadolibre.com.co/MRPCVENTAS
Buena, 29/04/20,"",https://www.mercadolibre.com.co/perfil/12SERVICESAAA,https://perfil.mercadolibre.com.co/ARFA6086590
Buena, 07/05/20,"",https://www.mercadolibre.com.co/perfil/14ROLOSO,https://perfil.mercadolibre.com.co/ZOOM_ON_LINE
Buena, 05/09/20,Excelente atención al cliente,https://www.mercadolibre.com.co/perfil/18ALEXANDERPRADA99,https://perfil.mercadolibre.com.co/EINSTEINTECNOLOGIA
Buena, 07/12/18,"",https://www.mercadolibre.com.co/perfil/1962-2003,https://perfil.mercadolibre.com.co/VENTAS_ITCEL
Buena, 25/10/16,"",https://www.mercadolibre.com.co/perfil/1976CRUZ,https://perfil.mercadolibre.com.co/BODEGATECNOLOGICA2011
Buena, 22/09/20,llego a Tiempo,https://www.mercadolibre.com.co/perfil/1MILTONELADAS,https://perfil.mercadolibre.com.co/JAG+COLOMBIA
Buena, 16/06/20,Cumplimiento y Calidad,https://www.mercadolibre.com.co/perfil/1PORELCAMINO,https://perfil.mercadolibre.com.co/MICOMPRAEXPRESS
Buena, 21/08/20,"",https://www.mercadolibre.com.co/perfil/1RAFIKI,https://perfil.mercadolibre.com.co/CARBONTECH
Buena, 29/08/20,"",https://www.mercadolibre.com.co/perfil/1SEPHIR!,https://perfil.mercadolibre.com.co/DASEHERERASAS
Buena, 31/07/20,Vendedor Muy Diligente. El Producto perfecto. Recomendado 100%.,https://www.mercadolibre.com.co/perfil/2007ARNE,https://perfil.mercadolibre.com.co/WIKIMARKET
Buena, 16/09/20,Excelente rápida entrega lo recomiendo 100%,https://www.mercadolibre.com.co/perfil/2402GENERAL,https://perfil.mercadolibre.com.co/IMPORTACIONES+PRIME
Buena, 11/05/20,"",https://www.mercadolibre.com.co/perfil/2420192003,https://perfil.mercadolibre.com.co/CELULARESBOGOTA7
Buena, 18/06/20,Excelente,https://www.mercadolibre.com.co/perfil/3023624807,https://perfil.mercadolibre.com.co/TODOENCARGO-CO
Mala, 03/09/20,"",https://www.mercadolibre.com.co/perfil/3154321285JOSE,https://perfil.mercadolibre.com.co/AS+MOVIL
Buena, 15/04/19,"",https://www.mercadolibre.com.co/perfil/319ME240LLA28MAS24,https://perfil.mercadolibre.com.co/TS+ONLINE
Buena, 05/12/19,Vendedor muy bueno. Producto recibido sellado en perfectas condiciones con su respectiva factura. Se despachó de inmediato pero Servientrega se demoró,https://www.mercadolibre.com.co/perfil/3641GIURO,https://perfil.mercadolibre.com.co/TECHNOLOGYEXPRESSMS
Buena, 07/09/20,El producto llegó en el tiempo estipulado pero a las cuantas horas de haberse instalado comenzó a despegarse,https://www.mercadolibre.com.co/perfil/3AC,https://perfil.mercadolibre.com.co/MARIOE_PEREZH
Buena, 09/08/20,Buen servicio,https://www.mercadolibre.com.co/perfil/3DRAKO1976,https://perfil.mercadolibre.com.co/PEWI5430441
Buena, 11/08/20,"",https://www.mercadolibre.com.co/perfil/3ESMARTSOLUTIONSSASEDGARPE,https://perfil.mercadolibre.com.co/MH+COL-STORE
Buena, 18/03/18,Se llevó a cabo la compra a satisfacción,https://www.mercadolibre.com.co/perfil/3MAURICIO,https://perfil.mercadolibre.com.co/CARLOS.12526
