CODIGO,NOMBRE,NIVEL,PADRE_CODIGO
"","",0,null
Celulares y Teléfonos,Celulares y Teléfonos,0,null
Celulares y Teléfonos|Celulares y Smartphones,Celulares y Smartphones,1,Celulares y Teléfonos
Celulares y Teléfonos|Celulares y Smartphones|102,102,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|2020,2020,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|8 Plus,8 Plus,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|8 Pro,8 Pro,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|9A,9A,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A01,A01,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A10,A10,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A10s,A10s,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A10s Duos,A10s Duos,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A11,A11,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A20,A20,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A20s,A20s,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A20s Duos,A20s Duos,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A21s,A21s,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A30s,A30s,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A30s Duos,A30s Duos,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A50,A50,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A51,A51,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A51 Duos,A51 Duos,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A71,A71,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|A71 Duos,A71 Duos,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|Alcatel,Alcatel,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|1017G,1017G,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|1041 Dual SIM,1041 Dual SIM,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|1050 Dual SIM,1050 Dual SIM,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|3C,3C,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Crystal,Crystal,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Flint,Flint,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Ideal,Ideal,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Idol,Idol,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Idol 2 Mini,Idol 2 Mini,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Idol 3 (4.7),Idol 3 (4.7),3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Idol 3 (5.5),Idol 3 (5.5),3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Idol 4,Idol 4,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Pop 2 (4.5),Pop 2 (4.5),3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Pop 3 (5),Pop 3 (5),3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Pop 4,Pop 4,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Pop 4S,Pop 4S,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Alcatel|Revvl,Revvl,3,Celulares y Teléfonos|Celulares y Smartphones|Alcatel
Celulares y Teléfonos|Celulares y Smartphones|Appel,Appel,2,Celulares y Teléfonos|Celulares y Smartphones
Celulares y Teléfonos|Celulares y Smartphones|Appel|XR,XR,3,Celulares y Teléfonos|Celulares y Smartphones|Appel
