RO.TIPO_OPINION,RO.FECHA,RO.OPINION,USUARIO_VENDEDOR_ID,USUARIO_COMPRADOR_ID
BUENA,2019-07-29,excelente,_DIAZDUQUEDANIEL_,_CENTAUROBTA_
BUENA,2019-08-06,"",_NEMO193_,_CENTAUROBTA_
REGULAR,2019-08-21,"",_SADI9220306_,_CENTAUROBTA_
REGULAR,2019-08-21,"",_CENTAUROBTA_,_SADI9220306_
BUENA,2019-08-06,"",_CENTAUROBTA_,_NEMO193_
BUENA,2019-07-29,excelente,_CENTAUROBTA_,_DIAZDUQUEDANIEL_
BUENA,2019-08-22,"",_OMARJOSERICO_,_BOLDUTIENDA_
BUENA,2019-08-23,"",_VIMI5983688_,_BOLDUTIENDA_
BUENA,2019-08-26,"Exelente compra, muy buen equipo",_ACOSTAGILBER_,_BOLDUTIENDA_
BUENA,2019-08-26,"Exelente compra, muy buen equipo",_BOLDUTIENDA_,_ACOSTAGILBER_
BUENA,2019-08-23,"",_BOLDUTIENDA_,_VIMI5983688_
BUENA,2019-08-22,"",_BOLDUTIENDA_,_OMARJOSERICO_
BUENA,2019-05-16,"",_RAMOSJOHAN47_,_ITECHCOLOMBIA__
BUENA,2019-05-27,"",_HEYU3802761_,_ITECHCOLOMBIA__
BUENA,2019-07-21,"Buen vendedor, entrega dentro de los tiempos, el producto excelente.",_JGALAN1111_,_ITECHCOLOMBIA__
BUENA,2019-07-21,"Buen vendedor, entrega dentro de los tiempos, el producto excelente.",_ITECHCOLOMBIA__,_JGALAN1111_
BUENA,2019-05-27,"",_ITECHCOLOMBIA__,_HEYU3802761_
BUENA,2019-05-16,"",_ITECHCOLOMBIA__,_RAMOSJOHAN47_
BUENA,2016-04-09,Me llego el celular como nuevo funciona todo buen producto gracias,_HEFR7757002_,_MCFLYALEX38_
BUENA,2016-04-09,Me llego el celular como nuevo funciona todo buen producto gracias,_MCFLYALEX38_,_HEFR7757002_
BUENA,2019-04-24,"",_ELCENIZO46_,_UNAN3941349_
BUENA,2019-04-24,"",_UNAN3941349_,_ELCENIZO46_
BUENA,2019-07-19,"",_MOBR5111531_,_RACR6749409_
BUENA,2019-07-21,"",_HEAN6116681_,_RACR6749409_
BUENA,2019-07-28,"",_COJA3951899_,_RACR6749409_
BUENA,2019-07-28,"",_RACR6749409_,_COJA3951899_
BUENA,2019-07-21,"",_RACR6749409_,_HEAN6116681_
BUENA,2019-07-19,"",_RACR6749409_,_MOBR5111531_
BUENA,2019-08-09,"",_GAIAS25_,_MATEUSCORPORATION_
BUENA,2019-08-15,"",_GOCA8797325_,_MATEUSCORPORATION_
BUENA,2019-08-22,"",_RAFAELV77_,_MATEUSCORPORATION_
BUENA,2019-08-22,"",_MATEUSCORPORATION_,_RAFAELV77_
BUENA,2019-08-15,"",_MATEUSCORPORATION_,_GOCA8797325_
BUENA,2019-08-09,"",_MATEUSCORPORATION_,_GAIAS25_
BUENA,2019-04-13,"Todo perfecto, rapido y el producto que solicite. 100% recomendado.",_ANDRES_RV_,_CG_TECHNOLOGY_
BUENA,2019-06-04,"",_REMA76996_,_CG_TECHNOLOGY_
BUENA,2019-06-21,"Entrega a tiempo, buen producto. Tal como en la descripción.",_CAMA9117514_,_CG_TECHNOLOGY_
BUENA,2019-06-21,"Entrega a tiempo, buen producto. Tal como en la descripción.",_CG_TECHNOLOGY_,_CAMA9117514_
BUENA,2019-07-25,"",_EZMERMILNOVECIENTOSVEINTINUEVE_,_TECHNOLOGYRIVER_
BUENA,2019-08-14,"",_LO_TENGO_O_LO_TRAIGO_,_TECHNOLOGYRIVER_
BUENA,2019-08-15,"",_IMEDFAKIHFAKIH_,_TECHNOLOGYRIVER_
BUENA,2019-08-15,"",_TECHNOLOGYRIVER_,_IMEDFAKIHFAKIH_
BUENA,2019-06-04,"",_CG_TECHNOLOGY_,_REMA76996_
BUENA,2019-08-14,"",_TECHNOLOGYRIVER_,_LO_TENGO_O_LO_TRAIGO_
BUENA,2019-07-25,"",_TECHNOLOGYRIVER_,_EZMERMILNOVECIENTOSVEINTINUEVE_
BUENA,2019-04-13,"Todo perfecto, rapido y el producto que solicite. 100% recomendado.",_CG_TECHNOLOGY_,_ANDRES_RV_
BUENA,2018-12-13,"",_DANNYSAT_13_,_CAYO1043434_
BUENA,2018-12-13,"",_JARAMIREZCA_,_CAYO1043434_
BUENA,2018-12-27,Rapido y seguro,_MD708259_,_CAYO1043434_
BUENA,2018-12-27,Rapido y seguro,_CAYO1043434_,_MD708259_
BUENA,2018-12-13,"",_CAYO1043434_,_JARAMIREZCA_
BUENA,2018-12-13,"",_CAYO1043434_,_DANNYSAT_13_
BUENA,2019-07-03,"",_ORLEYPEÑA_,_VACE4180311_
BUENA,2019-07-06,"",_GEINERRIBERO_,_VACE4180311_
BUENA,2019-07-11,"",_JORGEALBERTOCASTAOCERON_,_VACE4180311_
BUENA,2019-07-11,"",_VACE4180311_,_JORGEALBERTOCASTAOCERON_
BUENA,2019-07-06,"",_VACE4180311_,_GEINERRIBERO_
BUENA,2019-07-03,"",_VACE4180311_,_ORLEYPEÑA_
BUENA,2019-08-26,"",_VIDAHAPPY77_,_GREYBAQUEROLEZCANO_
BUENA,2019-08-26,"",_ERICARAMOSBLANCO_,_GREYBAQUEROLEZCANO_
BUENA,2019-08-26,"",_SUSPIZARRO_,_GREYBAQUEROLEZCANO_
BUENA,2019-08-26,"",_GREYBAQUEROLEZCANO_,_SUSPIZARRO_
BUENA,2019-08-26,"",_GREYBAQUEROLEZCANO_,_ERICARAMOSBLANCO_
BUENA,2019-08-26,"",_GREYBAQUEROLEZCANO_,_VIDAHAPPY77_
BUENA,2015-05-02,Exelente,_HHITSCHER_,_TUYOCOLOMBIA_
BUENA,2015-05-24,Muy buena atención y cumplimiento.,_POPEYE1304_,_TUYOCOLOMBIA_
BUENA,2015-08-05,Excelente muchisismas gracias,_WORLDOFPATTA_,_TUYOCOLOMBIA_
